# EoS format: energy density (fm^-4), pressure (fm^-4), number density (fm^-3), chemical potential (MeV), nan, cs2 (speed of sound squared), phase
epsilon,p,n,mu,col4,cs2,phase
7.114491522578866e-12,5.0676531698170635e-18,9.49724527786643e-12,307.9628993889946,0,0,Hadronic
7.131505294555461e-12,5.087226461242633e-18,9.519956927202535e-12,307.9629093908784,0,0,Hadronic
7.148584780484055e-12,5.10687535250197e-18,9.542756296474666e-12,307.96291943139346,0,0,Hadronic
7.165730234178026e-12,5.126600135591655e-18,9.565643724480567e-12,307.962929510689,0,0,Hadronic
7.182941910431179e-12,5.146401103636184e-18,9.58861955132659e-12,307.9629396289147,0,0,Hadronic
7.200220065021328e-12,5.166278550892106e-18,9.611684118432496e-12,307.96294978622103,0,0,Hadronic
7.2175649547142164e-12,5.186232772752507e-18,9.634837768536653e-12,307.962959982759,0,0,Hadronic
7.234976837267408e-12,5.206264065751509e-18,9.658080845701271e-12,307.96297021867997,0,0,Hadronic
7.252455971433896e-12,5.226372727568418e-18,9.68141369531718e-12,307.96298049413616,0,0,Hadronic
7.2700026169662565e-12,5.246559057032483e-18,9.704836664109399e-12,307.96299080928026,0,0,Hadronic
7.287617034620088e-12,5.266823354126886e-18,9.728350100141702e-12,307.96300116426556,0,0,Hadronic
7.305299486158342e-12,5.287165919993692e-18,9.751954352822433e-12,307.9630115592459,0,0,Hadronic
7.323050234354986e-12,5.307587056938094e-18,9.775649772909354e-12,307.9630219943758,0,0,Hadronic
7.340869542998747e-12,5.328087068432683e-18,9.799436712514678e-12,307.96303246981034,0,0,Hadronic
7.358757676897396e-12,5.348666259122407e-18,9.823315525110747e-12,307.96304298570516,0,0,Hadronic
7.376714901881497e-12,5.369324934828876e-18,9.847286565535076e-12,307.9630535422165,0,0,Hadronic
7.394741484808154e-12,5.3900634025546744e-18,9.871350189995324e-12,307.9630641395014,0,0,Hadronic
7.412837693565427e-12,5.4108819704884206e-18,9.895506756075209e-12,307.9630747777171,0,0,Hadronic
7.431003797075884e-12,5.4317809480088886e-18,9.919756622739222e-12,307.96308545702186,0,0,Hadronic
7.44924006530092e-12,5.4527606456899504e-18,9.944100150338417e-12,307.96309617757436,0,0,Hadronic
7.467546769244527e-12,5.473821375304921e-18,9.968537700615432e-12,307.96310693953393,0,0,Hadronic
7.485924180957421e-12,5.49496344983131e-18,9.993069636709989e-12,307.9631177430604,0,0,Hadronic
7.504372573541188e-12,5.5161871834555825e-18,1.001769632316444e-11,307.9631285883144,0,0,Hadronic
7.52289222115214e-12,5.537492891577606e-18,1.0042418125928897e-11,307.9631394754571,0,0,Hadronic
7.541483399005521e-12,5.558880890815483e-18,1.0067235412366878e-11,307.9631504046503,0,0,Hadronic
7.560146383379566e-12,5.58035149901022e-18,1.0092148551260674e-11,307.96316137605635,0,0,Hadronic
7.578881451619578e-12,5.601905035230416e-18,1.0117157912816828e-11,307.96317238983835,0,0,Hadronic
7.597688882142179e-12,5.623541819777155e-18,1.0142263868671799e-11,307.9631834461599,0,0,Hadronic
7.616568954439196e-12,5.645262174188494e-18,1.0167466791897146e-11,307.96319454518544,0,0,Hadronic
7.635521949082155e-12,5.667066421244598e-18,1.0192767057005517e-11,307.96320568707984,0,0,Hadronic
7.654548147726009e-12,5.688954884972057e-18,1.0218165039955643e-11,307.96321687200856,0,0,Hadronic
7.673647833113786e-12,5.710927890649217e-18,1.0243661118158524e-11,307.963228100138,0,0,Hadronic
7.692821289080581e-12,5.7329857648107856e-18,1.0269255670482755e-11,307.9632393716349,0,0,Hadronic
7.712068800557552e-12,5.755128835252429e-18,1.029494907725989e-11,307.96325068666687,0,0,Hadronic
7.731390653576605e-12,5.777357431036136e-18,1.032074172029064e-11,307.9632620454019,0,0,Hadronic
7.750787135274396e-12,5.799671882494866e-18,1.0346633982850265e-11,307.963273448009,0,0,Hadronic
7.770258533896419e-12,5.822072521237206e-18,1.0372626249694e-11,307.9632848946574,0,0,Hadronic
7.789805138801723e-12,5.844559680152837e-18,1.0398718907063364e-11,307.9632963855173,0,0,Hadronic
7.809427240466809e-12,5.867133693416986e-18,1.0424912342691347e-11,307.9633079207596,0,0,Hadronic
7.82912513049025e-12,5.889794896495762e-18,1.0451206945808592e-11,307.96331950055543,0,0,Hadronic
7.848899101596782e-12,5.912543626150856e-18,1.0477603107148837e-11,307.9633311250771,0,0,Hadronic
7.868749447641764e-12,5.935380220444661e-18,1.0504101218954887e-11,307.9633427944973,0,0,Hadronic
7.888676463615646e-12,5.9583050187454336e-18,1.0530701674984555e-11,307.9633545089894,0,0,Hadronic
7.90868044564814e-12,5.981318361732075e-18,1.0557404870516242e-11,307.9633662687276,0,0,Hadronic
7.928761691012737e-12,6.0044205913993244e-18,1.0584211202354959e-11,307.9633780738866,0,0,Hadronic
7.94892049813124e-12,6.0276120510630116e-18,1.0611121068838391e-11,307.9633899246417,0,0,Hadronic
7.969157166577844e-12,6.050893085364689e-18,1.0638134869842309e-11,307.96340182116927,0,0,Hadronic
7.989471997084067e-12,6.074264040277352e-18,1.0665253006787192e-11,307.96341376364586,0,0,Hadronic
8.009865291542782e-12,6.0977252631100654e-18,1.0692475882643567e-11,307.96342575224907,0,0,Hadronic
8.030337353013086e-12,6.121277102513559e-18,1.0719803901938542e-11,307.96343778715703,0,0,Hadronic
8.050888485724344e-12,6.144919908484882e-18,1.074723747076118e-11,307.9634498685486,0,0,Hadronic
