# EoS format: energy density (fm^-4), pressure (fm^-4), number density (fm^-3), chemical potential (MeV), nan, cs2 (speed of sound squared), phase
epsilon,p,n,mu,col4,cs2,phase
7.114491522578866e-12,5.0676531698170635e-18,9.49724527786643e-12,307.9628993889946,0,0,Hadronic
7.131487071429064e-12,5.087205496663809e-18,9.519932601189253e-12,307.96290938016557,0,0,Hadronic
7.148548193536695e-12,5.106833261483937e-18,9.5427074566384e-12,307.96291940988505,0,0,Hadronic
7.165675141900545e-12,5.1265367553368865e-18,9.565570181924279e-12,307.9629294783019,0,0,Hadronic
7.182868170495437e-12,5.146316270404967e-18,9.588521116060037e-12,307.9629395855652,0,0,Hadronic
7.200127534276089e-12,5.1661720999978065e-18,9.61156059936674e-12,307.962949731825,0,0,Hadronic
7.217453489180981e-12,5.186104538556768e-18,9.634688973478513e-12,307.9629599172318,0,0,Hadronic
7.2348462921360835e-12,5.206113881659288e-18,9.657906581347519e-12,307.96297014193647,0,0,Hadronic
7.252306201058473e-12,5.2262004260229914e-18,9.681213767248789e-12,307.9629804060907,0,0,Hadronic
7.2698334748605566e-12,5.24636446951058e-18,9.704610876785858e-12,307.96299070984674,0,0,Hadronic
7.28742837345354e-12,5.266606311133797e-18,9.72809825689539e-12,307.96300105335735,0,0,Hadronic
7.305091157751555e-12,5.286926251058207e-18,9.751676255852694e-12,307.96301143677596,0,0,Hadronic
7.322822089675315e-12,5.307324590607372e-18,9.775345223276593e-12,307.96302186025645,0,0,Hadronic
7.340621432156086e-12,5.327801632267442e-18,9.79910551013473e-12,307.9630323239534,0,0,Hadronic
7.358489449139666e-12,5.348357679691715e-18,9.82295746874887e-12,307.96304282802214,0,0,Hadronic
7.376426405590254e-12,5.3689930377050984e-18,9.846901452800089e-12,307.9630533726183,0,0,Hadronic
7.394432567494149e-12,5.389708012308364e-18,9.870937817333669e-12,307.9630639578982,0,0,Hadronic
7.412508201864128e-12,5.410502910683183e-18,9.895066918764972e-12,307.9630745840189,0,0,Hadronic
7.43065357674301e-12,5.431378041196223e-18,9.919289114884196e-12,307.9630852511379,0,0,Hadronic
