# p(code_units), e(code_units) => first two columns, plus original columns afterward
# system=fm^-4 => code, pFactor=2.612195e-04, eFactor=2.612195e-04
# p (code_units),epsilon (code_units),n,mu,col4,cs2,phase
1.323770e-21,1.858444e-15,9.49724527786643e-12,307.9628993889946,0,0,Hadronic
1.328883e-21,1.862888e-15,9.519956927202535e-12,307.9629093908784,0,0,Hadronic
1.334015e-21,1.867350e-15,9.542756296474666e-12,307.96291943139346,0,0,Hadronic
1.339168e-21,1.871828e-15,9.565643724480567e-12,307.962929510689,0,0,Hadronic
1.344340e-21,1.876324e-15,9.58861955132659e-12,307.9629396289147,0,0,Hadronic
1.349533e-21,1.880838e-15,9.611684118432496e-12,307.96294978622103,0,0,Hadronic
1.354745e-21,1.885369e-15,9.634837768536653e-12,307.962959982759,0,0,Hadronic
1.359978e-21,1.889917e-15,9.658080845701271e-12,307.96297021867997,0,0,Hadronic
1.365230e-21,1.894483e-15,9.68141369531718e-12,307.96298049413616,0,0,Hadronic
1.370503e-21,1.899066e-15,9.704836664109399e-12,307.96299080928026,0,0,Hadronic
1.375797e-21,1.903668e-15,9.728350100141702e-12,307.96300116426556,0,0,Hadronic
1.381111e-21,1.908287e-15,9.751954352822433e-12,307.9630115592459,0,0,Hadronic
1.386445e-21,1.912923e-15,9.775649772909354e-12,307.9630219943758,0,0,Hadronic
1.391800e-21,1.917578e-15,9.799436712514678e-12,307.96303246981034,0,0,Hadronic
1.397176e-21,1.922251e-15,9.823315525110747e-12,307.96304298570516,0,0,Hadronic
1.402572e-21,1.926942e-15,9.847286565535076e-12,307.9630535422165,0,0,Hadronic
1.407990e-21,1.931651e-15,9.871350189995324e-12,307.9630641395014,0,0,Hadronic
1.413428e-21,1.936378e-15,9.895506756075209e-12,307.9630747777171,0,0,Hadronic
1.418887e-21,1.941123e-15,9.919756622739222e-12,307.96308545702186,0,0,Hadronic
1.424367e-21,1.945887e-15,9.944100150338417e-12,307.96309617757436,0,0,Hadronic
1.429869e-21,1.950669e-15,9.968537700615432e-12,307.96310693953393,0,0,Hadronic
1.435392e-21,1.955469e-15,9.993069636709989e-12,307.9631177430604,0,0,Hadronic
1.440936e-21,1.960288e-15,1.001769632316444e-11,307.9631285883144,0,0,Hadronic
1.446501e-21,1.965126e-15,1.0042418125928897e-11,307.9631394754571,0,0,Hadronic
1.452088e-21,1.969982e-15,1.0067235412366878e-11,307.9631504046503,0,0,Hadronic
1.457697e-21,1.974858e-15,1.0092148551260674e-11,307.96316137605635,0,0,Hadronic
1.463327e-21,1.979752e-15,1.0117157912816828e-11,307.96317238983835,0,0,Hadronic
1.468979e-21,1.984664e-15,1.0142263868671799e-11,307.9631834461599,0,0,Hadronic
1.474652e-21,1.989596e-15,1.0167466791897146e-11,307.96319454518544,0,0,Hadronic
1.480348e-21,1.994547e-15,1.0192767057005517e-11,307.96320568707984,0,0,Hadronic
1.486066e-21,1.999517e-15,1.0218165039955643e-11,307.96321687200856,0,0,Hadronic
1.491806e-21,2.004506e-15,1.0243661118158524e-11,307.963228100138,0,0,Hadronic
1.497568e-21,2.009515e-15,1.0269255670482755e-11,307.9632393716349,0,0,Hadronic
1.503352e-21,2.014543e-15,1.029494907725989e-11,307.96325068666687,0,0,Hadronic
1.509158e-21,2.019590e-15,1.032074172029064e-11,307.9632620454019,0,0,Hadronic
1.514987e-21,2.024657e-15,1.0346633982850265e-11,307.963273448009,0,0,Hadronic
1.520839e-21,2.029743e-15,1.0372626249694e-11,307.9632848946574,0,0,Hadronic
1.526713e-21,2.034849e-15,1.0398718907063364e-11,307.9632963855173,0,0,Hadronic
1.532610e-21,2.039975e-15,1.0424912342691347e-11,307.9633079207596,0,0,Hadronic
1.538529e-21,2.045120e-15,1.0451206945808592e-11,307.96331950055543,0,0,Hadronic
1.544472e-21,2.050285e-15,1.0477603107148837e-11,307.9633311250771,0,0,Hadronic
1.550437e-21,2.055471e-15,1.0504101218954887e-11,307.9633427944973,0,0,Hadronic
