# p(code_units), e(code_units) => first two columns, plus original columns afterward
# system=fm^-4 => code, pFactor=2.612195e-04, eFactor=2.612195e-04
# p (code_units),epsilon (code_units),n,mu,col4,cs2,phase
1.323770e-21,1.858444e-15,9.49724527786643e-12,307.9628993889946,0,0,Hadronic
1.328877e-21,1.862883e-15,9.519932601189253e-12,307.96290938016557,0,0,Hadronic
1.334004e-21,1.867340e-15,9.5427074566384e-12,307.96291940988505,0,0,Hadronic
1.339151e-21,1.871814e-15,9.565570181924279e-12,307.9629294783019,0,0,Hadronic
1.344318e-21,1.876305e-15,9.588521116060037e-12,307.9629395855652,0,0,Hadronic
1.349505e-21,1.880814e-15,9.61156059936674e-12,307.962949731825,0,0,Hadronic
1.354712e-21,1.885339e-15,9.634688973478513e-12,307.9629599172318,0,0,Hadronic
1.359938e-21,1.889883e-15,9.657906581347519e-12,307.96297014193647,0,0,Hadronic
1.365185e-21,1.894444e-15,9.681213767248789e-12,307.9629804060907,0,0,Hadronic
1.370453e-21,1.899022e-15,9.704610876785858e-12,307.96299070984674,0,0,Hadronic
1.375740e-21,1.903618e-15,9.72809825689539e-12,307.96300105335735,0,0,Hadronic
1.381048e-21,1.908232e-15,9.751676255852694e-12,307.96301143677596,0,0,Hadronic
1.386377e-21,1.912864e-15,9.775345223276593e-12,307.96302186025645,0,0,Hadronic
1.391726e-21,1.917513e-15,9.79910551013473e-12,307.9630323239534,0,0,Hadronic
1.397095e-21,1.922181e-15,9.82295746874887e-12,307.96304282802214,0,0,Hadronic
1.402486e-21,1.926866e-15,9.846901452800089e-12,307.9630533726183,0,0,Hadronic
1.407897e-21,1.931570e-15,9.870937817333669e-12,307.9630639578982,0,0,Hadronic
1.413329e-21,1.936292e-15,9.895066918764972e-12,307.9630745840189,0,0,Hadronic
1.418782e-21,1.941032e-15,9.919289114884196e-12,307.9630852511379,0,0,Hadronic
1.424256e-21,1.945790e-15,9.94360476486204e-12,307.96309595941347,0,0,Hadronic
1.429751e-21,1.950566e-15,9.96801422925476e-12,307.96310670900436,0,0,Hadronic
1.435267e-21,1.955361e-15,9.992517870009635e-12,307.9631175000699,0,0,Hadronic
1.440805e-21,1.960175e-15,1.0017116050470403e-11,307.9631283327703,0,0,Hadronic
1.446364e-21,1.965007e-15,1.0041809135382637e-11,307.963139207266,0,0,Hadronic
1.451944e-21,1.969858e-15,1.0066597490898856e-11,307.9631501237184,0,0,Hadronic
1.457546e-21,1.974727e-15,1.0091481484584311e-11,307.9631610822893,0,0,Hadronic
1.463170e-21,1.979615e-15,1.0116461485422379e-11,307.96317208314116,0,0,Hadronic
1.468815e-21,1.984522e-15,1.014153786381999e-11,307.9631831264373,0,0,Hadronic
1.474482e-21,1.989448e-15,1.016671099161285e-11,307.96319421234125,0,0,Hadronic
1.480171e-21,1.994393e-15,1.0191981242071476e-11,307.9632053410175,0,0,Hadronic
1.485882e-21,1.999357e-15,1.0217348989906249e-11,307.96321651263116,0,0,Hadronic
1.491615e-21,2.004341e-15,1.0242814611273348e-11,307.96322772734777,0,0,Hadronic
1.497370e-21,2.009343e-15,1.026837848378002e-11,307.9632389853337,0,0,Hadronic
1.503147e-21,2.014365e-15,1.0294040986490303e-11,307.96325028675585,0,0,Hadronic
1.508947e-21,2.019406e-15,1.0319802499930742e-11,307.9632616317818,0,0,Hadronic
1.514769e-21,2.024467e-15,1.0345663406095938e-11,307.9632730205799,0,0,Hadronic
1.520613e-21,2.029547e-15,1.0371624088454125e-11,307.9632844533189,0,0,Hadronic
1.526480e-21,2.034647e-15,1.0397684931952994e-11,307.9632959301684,0,0,Hadronic
1.532370e-21,2.039766e-15,1.0423846323025295e-11,307.9633074512986,0,0,Hadronic
1.538282e-21,2.044905e-15,1.0450108649594717e-11,307.9633190168803,0,0,Hadronic
1.544217e-21,2.050064e-15,1.0476472301081593e-11,307.963330627085,0,0,Hadronic
1.550175e-21,2.055243e-15,1.0502937668408341e-11,307.9633422820849,0,0,Hadronic
1.556156e-21,2.060442e-15,1.0529505144005802e-11,307.96335398205287,0,0,Hadronic
1.562160e-21,2.065661e-15,1.0556175121818799e-11,307.96336572716234,0,0,Hadronic
1.568187e-21,2.070900e-15,1.0582947997311835e-11,307.96337751758756,0,0,Hadronic
1.574238e-21,2.076159e-15,1.060982416747516e-11,307.9633893535032,0,0,Hadronic
1.580312e-21,2.081439e-15,1.0636804030830558e-11,307.963401235085,0,0,Hadronic
1.586409e-21,2.086739e-15,1.0663887987437415e-11,307.96341316250897,0,0,Hadronic
1.592530e-21,2.092059e-15,1.069107643889839e-11,307.9634251359521,0,0,Hadronic
1.598674e-21,2.097400e-15,1.0718369788365571e-11,307.96343715559186,0,0,Hadronic
1.604842e-21,2.102761e-15,1.0745768440546297e-11,307.96344922160654,0,0,Hadronic
1.611034e-21,2.108144e-15,1.077327280170938e-11,307.963461334175,0,0,Hadronic
1.617250e-21,2.113547e-15,1.0800883279691025e-11,307.96347349347695,0,0,Hadronic
1.623490e-21,2.118970e-15,1.0828600283900564e-11,307.9634856996927,0,0,Hadronic
1.629753e-21,2.124415e-15,1.0856424225327093e-11,307.9634979530031,0,0,Hadronic
1.636041e-21,2.129881e-15,1.0884355516545222e-11,307.9635102535901,0,0,Hadronic
1.642354e-21,2.135368e-15,1.0912394571721186e-11,307.9635226016359,0,0,Hadronic
1.648690e-21,2.140876e-15,1.094054180661905e-11,307.9635349973237,0,0,Hadronic
1.655051e-21,2.146405e-15,1.096879763860685e-11,307.9635474408372,0,0,Hadronic
1.661437e-21,2.151956e-15,1.0997162486662903e-11,307.96355993236114,0,0,Hadronic
1.667847e-21,2.157528e-15,1.102563677138196e-11,307.96357247208056,0,0,Hadronic
1.674282e-21,2.163121e-15,1.1054220914981094e-11,307.9635850601815,0,0,Hadronic
1.680742e-21,2.168736e-15,1.1082915341306563e-11,307.9635976968507,0,0,Hadronic
1.687227e-21,2.174373e-15,1.1111720475839764e-11,307.96361038227536,0,0,Hadronic
1.693737e-21,2.180032e-15,1.1140636745703452e-11,307.9636231166437,0,0,Hadronic
1.700271e-21,2.185712e-15,1.1169664579668242e-11,307.9636359001446,0,0,Hadronic
1.706832e-21,2.191414e-15,1.119880440815887e-11,307.96364873296756,0,0,Hadronic
1.713417e-21,2.197138e-15,1.1228056663260725e-11,307.9636616153029,0,0,Hadronic
1.720028e-21,2.202885e-15,1.1257421778726144e-11,307.9636745473416,0,0,Hadronic
1.726664e-21,2.208653e-15,1.1286900189980802e-11,307.96368752927555,0,0,Hadronic
1.733326e-21,2.214444e-15,1.1316492334130046e-11,307.9637005612972,0,0,Hadronic
1.740014e-21,2.220257e-15,1.1346198649965804e-11,307.9637136435997,0,0,Hadronic
1.746727e-21,2.226093e-15,1.1376019577972788e-11,307.96372677637714,0,0,Hadronic
1.753466e-21,2.231951e-15,1.140595556033494e-11,307.96373995982435,0,0,Hadronic
1.760232e-21,2.237831e-15,1.1436007040942133e-11,307.96375319413664,0,0,Hadronic
1.767023e-21,2.243735e-15,1.1466174465396869e-11,307.9637664795104,0,0,Hadronic
1.773841e-21,2.249661e-15,1.1496458281020546e-11,307.96377981614256,0,0,Hadronic
1.780685e-21,2.255610e-15,1.1526858936860558e-11,307.963793204231,0,0,Hadronic
1.787555e-21,2.261582e-15,1.1557376883696296e-11,307.9638066439741,0,0,Hadronic
1.794452e-21,2.267577e-15,1.1588012574046554e-11,307.96382013557127,0,0,Hadronic
1.801375e-21,2.273595e-15,1.1618766462175835e-11,307.96383367922255,0,0,Hadronic
1.808326e-21,2.279636e-15,1.1649639004101056e-11,307.9638472751287,0,0,Hadronic
1.815303e-21,2.285701e-15,1.1680630657598411e-11,307.96386092349144,0,0,Hadronic
1.822306e-21,2.291789e-15,1.1711741882210288e-11,307.96387462451315,0,0,Hadronic
1.829337e-21,2.297900e-15,1.174297313925175e-11,307.963888378397,0,0,Hadronic
