# p(code_units), e(code_units) => first two columns, plus original columns afterward
# system=fm^-4 => code, pFactor=2.612195e-04, eFactor=2.612195e-04
# p (code_units),epsilon (code_units),n,mu,col4,cs2,phase
1.662379e-21,2.152774e-15,1.1001346641083663e-11,307.9635617750104,0,0,Hadronic
1.668809e-21,2.158364e-15,1.1029908281023171e-11,307.96357435320016,0,0,Hadronic
1.675264e-21,2.163974e-15,1.1058580392308936e-11,307.96358698004116,0,0,Hadronic
1.681743e-21,2.169607e-15,1.108736340221532e-11,307.96359965572157,0,0,Hadronic
1.688248e-21,2.175261e-15,1.1116257739669371e-11,307.9636123804303,0,0,Hadronic
1.694778e-21,2.180937e-15,1.1145263835256819e-11,307.9636251543569,0,0,Hadronic
1.701333e-21,2.186635e-15,1.1174382121228936e-11,307.963637977692,0,0,Hadronic
1.707914e-21,2.192355e-15,1.1203613031508548e-11,307.9636508506264,0,0,Hadronic
1.714520e-21,2.198097e-15,1.123295700169684e-11,307.9636637733521,0,0,Hadronic
1.721152e-21,2.203862e-15,1.1262414469079741e-11,307.9636767460617,0,0,Hadronic
1.727809e-21,2.209648e-15,1.1291985872634308e-11,307.9636897689485,0,0,Hadronic
1.734492e-21,2.215458e-15,1.1321671653035352e-11,307.96370284220654,0,0,Hadronic
1.741201e-21,2.221289e-15,1.1351472252662135e-11,307.96371596603075,0,0,Hadronic
1.747936e-21,2.227143e-15,1.1381388115604918e-11,307.9637291406166,0,0,Hadronic
1.754696e-21,2.233020e-15,1.1411419687671157e-11,307.9637423661605,0,0,Hadronic
1.761483e-21,2.238920e-15,1.1441567416392852e-11,307.96375564285955,0,0,Hadronic
1.768297e-21,2.244842e-15,1.1471831751032773e-11,307.9637689709116,0,0,Hadronic
1.775136e-21,2.250787e-15,1.1502213142591095e-11,307.9637823505153,0,0,Hadronic
1.782002e-21,2.256755e-15,1.1532712043812485e-11,307.96379578187003,0,0,Hadronic
1.788895e-21,2.262747e-15,1.1563328909192386e-11,307.96380926517594,0,0,Hadronic
1.795814e-21,2.268761e-15,1.1594064194984212e-11,307.963822800634,0,0,Hadronic
1.802760e-21,2.274799e-15,1.162491835920594e-11,307.9638363884459,0,0,Hadronic
1.809733e-21,2.280860e-15,1.165589186164681e-11,307.96385002881414,0,0,Hadronic
1.816733e-21,2.286944e-15,1.1686985163874473e-11,307.96386372194206,0,0,Hadronic
1.823760e-21,2.293052e-15,1.171819872924172e-11,307.9638774680337,0,0,Hadronic
1.830814e-21,2.299184e-15,1.1749533022893264e-11,307.96389126729383,0,0,Hadronic
1.837896e-21,2.305340e-15,1.1780988511772782e-11,307.96390511992826,0,0,Hadronic
1.845004e-21,2.311519e-15,1.1812565664630069e-11,307.96391902614334,0,0,Hadronic
1.852141e-21,2.317722e-15,1.1844264952027573e-11,307.96393298614635,0,0,Hadronic
1.859305e-21,2.323949e-15,1.1876086846347909e-11,307.96394700014525,0,0,Hadronic
1.866496e-21,2.330200e-15,1.1908031821800416e-11,307.963961068349,0,0,Hadronic
1.873716e-21,2.336476e-15,1.1940100354428621e-11,307.96397519096723,0,0,Hadronic
1.880963e-21,2.342775e-15,1.1972292922117182e-11,307.9639893682103,0,0,Hadronic
1.888238e-21,2.349099e-15,1.2004610004598857e-11,307.96400360028974,0,0,Hadronic
1.895542e-21,2.355448e-15,1.203705208346182e-11,307.9640178874174,0,0,Hadronic
1.902874e-21,2.361821e-15,1.2069619642156866e-11,307.9640322298064,0,0,Hadronic
1.910234e-21,2.368218e-15,1.2102313166004676e-11,307.9640466276703,0,0,Hadronic
1.917622e-21,2.374641e-15,1.2135133142202509e-11,307.96406108122375,0,0,Hadronic
1.925040e-21,2.381088e-15,1.2168080059832265e-11,307.9640755906822,0,0,Hadronic
1.932485e-21,2.387560e-15,1.220115440986731e-11,307.9640901562619,0,0,Hadronic
1.939960e-21,2.394057e-15,1.2234356685179682e-11,307.9641047781798,0,0,Hadronic
1.947464e-21,2.400580e-15,1.2267687380547862e-11,307.9641194566539,0,0,Hadronic
1.954996e-21,2.407127e-15,1.2301146992663642e-11,307.96413419190293,0,0,Hadronic
1.962558e-21,2.413700e-15,1.2334736020139975e-11,307.9641489841465,0,0,Hadronic
1.970149e-21,2.420299e-15,1.2368454963518204e-11,307.964163833605,0,0,Hadronic
1.977769e-21,2.426923e-15,1.2402304325275338e-11,307.9641787404999,0,0,Hadronic
1.985419e-21,2.433572e-15,1.243628460983191e-11,307.96419370505316,0,0,Hadronic
1.993099e-21,2.440247e-15,1.2470396323559381e-11,307.9642087274879,0,0,Hadronic
2.000808e-21,2.446948e-15,1.250463997478721e-11,307.964223808028,0,0,Hadronic
2.008547e-21,2.453675e-15,1.2539016073811294e-11,307.96423894689815,0,0,Hadronic
2.016316e-21,2.460428e-15,1.2573525132900774e-11,307.96425414432406,0,0,Hadronic
2.024114e-21,2.467207e-15,1.2608167666306185e-11,307.96426940053215,0,0,Hadronic
2.031944e-21,2.474013e-15,1.2642944190266937e-11,307.9642847157498,0,0,Hadronic
2.039803e-21,2.480844e-15,1.2677855223018867e-11,307.9643000902052,0,0,Hadronic
2.047693e-21,2.487702e-15,1.2712901284802096e-11,307.96431552412747,0,0,Hadronic
2.055613e-21,2.494587e-15,1.2748082897868888e-11,307.96433101774676,0,0,Hadronic
2.063564e-21,2.501498e-15,1.278340058649135e-11,307.9643465712939,0,0,Hadronic
2.071546e-21,2.508436e-15,1.2818854876968975e-11,307.96436218500065,0,0,Hadronic
2.079558e-21,2.515401e-15,1.2854446297637019e-11,307.9643778590997,0,0,Hadronic
2.087602e-21,2.522392e-15,1.2890175378873844e-11,307.96439359382475,0,0,Hadronic
2.095676e-21,2.529411e-15,1.2926042653109072e-11,307.96440938941015,0,0,Hadronic
2.103782e-21,2.536457e-15,1.296204865483168e-11,307.9644252460913,0,0,Hadronic
2.111919e-21,2.543530e-15,1.2998193920597505e-11,307.9644411641047,0,0,Hadronic
2.120088e-21,2.550631e-15,1.3034478989037713e-11,307.9644571436874,0,0,Hadronic
2.128288e-21,2.557759e-15,1.3070904400866633e-11,307.96447318507757,0,0,Hadronic
2.136520e-21,2.564914e-15,1.3107470698889585e-11,307.96448928851436,0,0,Hadronic
2.144784e-21,2.572098e-15,1.3144178428011372e-11,307.96450545423767,0,0,Hadronic
2.153080e-21,2.579309e-15,1.3181028135244239e-11,307.96452168248845,0,0,Hadronic
2.161408e-21,2.586547e-15,1.3218020369715755e-11,307.9645379735086,0,0,Hadronic
2.169768e-21,2.593814e-15,1.3255155682677595e-11,307.9645543275408,0,0,Hadronic
2.178161e-21,2.601109e-15,1.3292434627512885e-11,307.96457074482885,0,0,Hadronic
2.186585e-21,2.608433e-15,1.3329857759745386e-11,307.9645872256174,0,0,Hadronic
2.195043e-21,2.615784e-15,1.3367425637047242e-11,307.96460377015205,0,0,Hadronic
2.203533e-21,2.623164e-15,1.3405138819247173e-11,307.9646203786794,0,0,Hadronic
2.212056e-21,2.630573e-15,1.3442997868339256e-11,307.96463705144697,0,0,Hadronic
2.220612e-21,2.638010e-15,1.3481003348491038e-11,307.9646537887032,0,0,Hadronic
2.229201e-21,2.645476e-15,1.3519155826051828e-11,307.9646705906975,0,0,Hadronic
2.237824e-21,2.652971e-15,1.3557455869561275e-11,307.9646874576803,0,0,Hadronic
2.246479e-21,2.660494e-15,1.3595904049757984e-11,307.96470438990303,0,0,Hadronic
2.255169e-21,2.668047e-15,1.3634500939587881e-11,307.96472138761794,0,0,Hadronic
2.263891e-21,2.675630e-15,1.3673247114212548e-11,307.9647384510784,0,0,Hadronic
2.272648e-21,2.683241e-15,1.371214315101811e-11,307.96475558053874,0,0,Hadronic
2.281438e-21,2.690882e-15,1.375118962962361e-11,307.9647727762541,0,0,Hadronic
2.290263e-21,2.698552e-15,1.3790387131889884e-11,307.9647900384809,0,0,Hadronic
2.299121e-21,2.706252e-15,1.3829736241928094e-11,307.96480736747634,0,0,Hadronic
2.308014e-21,2.713982e-15,1.3869237546108213e-11,307.96482476349865,0,0,Hadronic
2.316941e-21,2.721742e-15,1.3908891633068183e-11,307.96484222680715,0,0,Hadronic
2.325903e-21,2.729532e-15,1.3948699093722471e-11,307.96485975766205,0,0,Hadronic
2.334899e-21,2.737352e-15,1.3988660521270664e-11,307.9648773563246,0,0,Hadronic
2.343930e-21,2.745202e-15,1.4028776511206802e-11,307.9648950230571,0,0,Hadronic
2.352996e-21,2.753083e-15,1.4069047661327674e-11,307.96491275812286,0,0,Hadronic
2.362098e-21,2.760994e-15,1.410947457174232e-11,307.96493056178616,0,0,Hadronic
2.371234e-21,2.768935e-15,1.415005784488043e-11,307.9649484343123,0,0,Hadronic
2.380406e-21,2.776908e-15,1.4190798085501542e-11,307.96496637596766,0,0,Hadronic
2.389613e-21,2.784911e-15,1.4231695900704251e-11,307.9649843870196,0,0,Hadronic
2.398856e-21,2.792945e-15,1.4272751899935024e-11,307.9650024677366,0,0,Hadronic
2.408134e-21,2.801010e-15,1.4313966694997135e-11,307.9650206183881,0,0,Hadronic
2.417449e-21,2.809107e-15,1.4355340900060156e-11,307.96503883924464,0,0,Hadronic
2.426799e-21,2.817234e-15,1.4396875131668956e-11,307.96505713057763,0,0,Hadronic
